,datetime,Sample_ID,Code,Gage_Ht,Temp,pH,Cond,Cl,NO3-N,SO4-S,Na,K,Mg,Ca,NH4-N,PO4-P,DOC,DIC,TDN,TDP,SiO2,DON,TSS,Turbidity,source,discharge(cfs),discharge(m/yr),rank,stage,discharge(cms),notes,datetime.1,gageheight,site,code,datetime_last,d18O,d18O_stdev,d2H,d2H_stdev,dexcess,dexcess_stdev,DO%,Temperature,SO4,Bromide,rank_sp,rainfall(mm),rainfall(in),pc1,pc2,binnum,F1_med,F2_med,Na_backcalc_5,Na_backcalc_95,Na_backcalc_med,Na_backcalc_mean,Ca_backcalc_5,Ca_backcalc_95,Ca_backcalc_med,Ca_backcalc_mean,Mg_backcalc_5,Mg_backcalc_95,Mg_backcalc_med,Mg_backcalc_mean,Cl_backcalc_5,Cl_backcalc_95,Cl_backcalc_med,Cl_backcalc_mean,F1_std,F2_std,F1_5,F2_5,F1_95,F2_95,F1_25,F2_25,F1_75,F2_75
502,1997-05-07 18:35:00,RI,120000217.0,,,,32.7,5.43,214.0,0.58,4.09,0.59,0.49,1.19,13.0,,,,,,1.27,,,,EDI,353.0,95.52394732310157,99.82661580982024,,,,,,RI,,,,,,,,,,,,,,,,2.531829537080212,0.9371870048060778,7.0,0.6820642760102216,0.3179357239897783,2.510636025289356,4.962780734741858,3.481668786339269,2.889679987705735,-4.8696239496635165,5.631398862686117,1.7844975903724007,4.896616547280012,-0.6148635071953622,1.4476936152950157,0.7144244493569747,1.2917659149391618,-1.670028629349158,15.261356179393381,4.719306355604729,-0.031830021181318585,60.49823250130671,60.498232501306695,-0.49592176818168054,-1.5335505382707988,2.5335505382707986,1.4959217681816768,0.5777463461839265,0.07715838872300443,0.9228416112769957,0.4222536538160734
503,1997-05-07 18:55:00,RI,120000218.0,,,,34.2,5.86,246.0,0.6,4.02,0.58,0.48,1.15,9.0,,,,,,2.63,,,,EDI,184.0,49.79151928456286,99.3642684526947,,,,,,RI,,,,,,,,,,,,,,,,2.4326714328107557,1.2663737317203825,7.0,0.6656579953595764,0.33434200464042363,2.59514921196176,4.985809901697567,3.542792065510328,2.9627557477413333,-4.638130672208661,5.60958138202143,1.8489150711889253,4.89344777726742,-0.5631592642723846,1.448480831879977,0.735057832434439,1.2996818326371034,-1.4782808445552278,15.024700962624282,4.75545964735834,0.11232257035390535,59.11369660905421,59.11369660905421,-0.48439744765215387,-1.4729807266082846,2.4729807266082844,1.4843974476521504,0.563754614704168,0.09841131632738226,0.9015886836726178,0.436245385295832
504,1997-05-07 19:00:00,RI,120000219.0,,,,34.9,5.75,238.0,0.58,3.96,0.64,0.51,1.24,,,,,,,1.27,,,,EDI,184.0,49.79151928456286,99.3642684526947,,,,,,RI,,,,,,,,,,,,,,,,2.4243063807328253,1.1236782911472203,7.0,0.6643646800568059,0.33563531994319407,2.60165552400274,4.987681067881721,3.5484995770708263,2.9689204736892054,-4.619095941085724,5.607788950038042,1.854550771793685,4.893180457451487,-0.5588456190288345,1.4485472420617602,0.7368324292147277,1.3003496253936901,-1.4621048575550106,15.004835486357273,4.758164324419836,0.12448339113850077,58.99689650129842,58.99689650129841,-0.4834252473251862,-1.4673779018698694,2.4673779018698694,1.4834252473251828,0.5625783090503206,0.10030104831549737,0.8996989516845026,0.4374216909496794
505,1997-05-21 15:00:00,RI,120000220.0,,,,63.3,6.91,130.0,0.51,6.29,0.61,1.4,3.96,,,,,,,19.0,,,,EDI,5.3,1.434212240261865,10.508346217375278,,,,,,RI,,,,,,,,,,,,,,,,-1.484694213091819,0.36269600101938504,0.0,0.03833588180685174,0.9616641181931482,5.163442390254717,6.429049228873296,5.947735245165272,5.84970557419022,3.900983512158931,5.2593790382678325,4.54139785697281,4.768261531739848,1.380508247292841,1.9419538786756947,1.5605028765732094,1.6124101191869447,5.250115993136878,7.131913916084868,6.2334163207583195,5.807252036868846,4.503566977662948,4.503566977662948,-0.15584742304966318,0.8393558075821188,0.16064419241788122,1.155847423049663,-0.019453628485481045,0.9343303008404872,0.06566969915951279,1.0194536284854812
506,1997-06-02 14:30:00,RI,120000221.0,,,,29.2,4.95,74.0,0.57,3.5,0.5,0.4,0.94,18.0,,,,,,4.4,,,,EDI,442.0,119.60788871617818,99.90143550661648,,,,,,RI,,,,,,,,,,,,,,,,3.2235049008059855,0.7174067736036469,7.0,0.7961358357536008,0.20386416424639922,1.9364904374253389,4.778592992597657,3.0482870715292925,2.379941492052227,-6.469821566948374,5.8317825839902815,1.3250843696918286,4.918720238825731,-0.9991086136827647,1.4289937962133483,0.5739025629597679,1.236548590109405,-3.0075614489616074,16.86134047502845,4.466754031917702,-1.037363526654426,70.15622861411936,70.15622861411936,-0.5828802061552495,-1.9458086896125648,2.945808689612565,1.5828802061552494,0.674067608783298,-0.0776713575868364,1.0776713575868364,0.325932391216702
507,1997-06-02 14:35:00,RI,120000222.0,,,,27.1,4.58,68.0,0.55,3.23,0.49,0.35,0.8,12.0,,,,,,2.88,,,,EDI,442.0,119.60788871617818,99.90143550661648,,,,,,RI,,,,,,,,,,,,,,,,3.619795414048123,0.5251375978566464,7.0,0.8609972208482174,0.13900277915178266,1.60399389809934,4.677516804292058,2.800230545027622,2.0878904220622783,-7.389484767773676,5.936956957030504,1.0582101992929926,4.9313843927432695,-1.2077625309826887,1.4155641407332225,0.493371954080931,1.2049122139361077,-3.7738914288343195,17.707774639600853,4.32432396492457,-1.6134768449308594,75.68982857042096,75.68982857042096,-0.6299854942040637,-2.182009084988011,3.182009084988011,1.6299854942040608,0.7292531006219451,-0.16524095610224465,1.1652409561022448,0.2707468993780549
508,1997-06-02 14:40:00,RI,120000223.0,,,,25.3,4.17,71.0,0.51,3.12,0.57,0.31,0.7,,,,,,,2.11,,,,EDI,876.0,237.0509287678101,99.98468381994968,,,,,,RI,,,,,,,,,,,,,,,,3.924421910305594,0.29203503368633277,7.0,0.9111295166707022,0.08887048332929778,1.3539906672054758,4.617335765289992,2.6094262818288856,1.863392254161578,-8.086055492937867,6.046656635751332,0.8577772433630739,4.941119263266413,-1.3706785148527698,1.411729494017218,0.43292098157404657,1.1805934929323734,-4.3945868052198005,18.356312515221333,4.214272586034674,-2.056332214235576,79.94352334777608,79.94352334777608,-0.666056041312188,-2.3645755631106806,3.3645755631106793,1.666056041312185,0.7713696206243131,-0.23374678650750239,1.2337467865075025,0.22863037937568692
510,1997-06-02 15:50:00,RI,120000225.0,,,,21.7,3.49,108.0,0.7,2.64,0.44,0.23,0.57,75.0,,,,,,1.3,,,,EDI,910.0,246.25153559213152,99.98591037235614,,,,,,RI,,,,,,,,,,,,,,,,4.575783773586412,-0.11738153435660086,7.0,1.0167442958477824,-0.016744295847782323,0.7814454386708878,4.450954605877129,2.2009903355061335,1.3833632785358636,-9.575484715359584,6.200914846592768,0.408942026685273,4.961934666656019,-1.7107118818101528,1.410771613872139,0.3024352255997112,1.128594446164611,-5.657042923705783,19.746758589381294,3.9796813898746306,-3.0032593596354262,89.03900877091105,89.03900877091104,-0.7434314349663179,-2.7524523693912566,3.752452369391253,1.7434314349663151,0.8616225945558912,-0.38091231953259214,1.3809123195325923,0.13837740544410881
511,1997-06-02 16:10:00,RI,120000226.0,,,,22.6,3.75,118.0,0.47,2.63,0.43,0.26,0.59,,,,,,,1.22,,,,EDI,945.0,255.7227484995212,99.9868538742073,,,,,,RI,,,,,,,,,,,,,,,,4.432321497016751,0.03684036666324363,7.0,0.9935308438420645,0.006469156157935622,0.8999842029689705,4.489844504044154,2.291048339755939,1.4890895323202051,-9.247438326580024,6.166939516819226,0.5096459268439235,4.95735007961408,-1.6347055840744422,1.410982586718479,0.33126355017586584,1.1400472223391063,-5.379191710748738,19.452291583566197,4.0330908143980455,-2.794698908551573,87.0357200777589,87.03572007775888,-0.7261959706805688,-2.6696421552068688,3.6696421552068683,1.7261959706805658,0.8417141096153226,-0.34738646922543165,1.3473864692254316,0.15828589038467755
513,1997-06-02 16:50:00,RI,120000228.0,,,,22.6,3.61,116.0,0.6,2.63,0.4,0.26,0.55,,,,,,,1.09,,,,EDI,994.0,268.98244656986674,99.98892957827982,,,,,,RI,,,,,,,,,,,,,,,,4.5019787661559345,-0.04958111388595091,7.0,1.0047225866706535,-0.004722586670653365,0.8406177499218843,4.470961741493671,2.247329433707137,1.4377547682900447,-9.406719331592234,6.183436039436297,0.45999976635425044,4.959576099032609,-1.6725036912315017,1.4108801500871224,0.3177083134825025,1.1344863938659098,-5.514100741780316,19.59526831561821,4.008066776192832,-2.8959642155040815,88.00840451342656,88.00840451342654,-0.7344440247361969,-2.7099723398205833,3.7099723398205806,1.734444024736194,0.8513617188542384,-0.36290518557825613,1.3629051855782561,0.14863828114576166
